alias_text,entity_type,entity_id,context
BULL,club,MW_BULL,fast entry
SILV,club,MW_SS,fast entry
NENO,club,MW_NYG,fast entry
MAZABUKA,club,MW_MAS,fast entry
MPEMBA,club,MW_MYS,fast entry
LIMBE,club,MW_LIM,fast entry
Michigan,club,MW_MICH,fast entry
Brothers,club,MW_BIA,fast entry
Yizo,club,MW_YY,fast entry
Agumbala,club,MW_AS,fast entry
Manchester,club,MW_MM,fast entry
Extended Hope,club,MW_EH,fast entry
Griffin,club,MW_GS,fast entry
NGWANGWAZI,club,MW_NAA,fast entry
Armour,club,MW_AB,fast entry
Manzo,club,MW_MC,fast entry
Pyramid FC œ Chivala School,club,MW_PFC,fast entry
Mchinji Boma,club,MW_MCHS,fast entry
Mbabzi,club,MW_MU,fast entry
NGW'ANGW'AZI,club,MW_NAA,fast entry
Chisomo,club,MW_MC,fast entry
Chizumulu,club,MW_CZU,fast entry
Chihome,club,MW_CAS,fast entry
Jenda,club,MW_JU,fast entry
M'mbelwa Warriors,club,MW_MMW,fast entry
Euthini,club,MW_EV,fast entry
Chilumba,club,MW_CHB,fast entry
Chibavi,club,MW_CRS,fast entry
Vision S,club,MW_VSA,fast entry
Chintheche,club,MW_CHIN,fast entry