club_id,name,short_name,city,region,founded,crest,status,successor_club_id,notes
MW_U16_BLU,Blantyre United,Blantyre United,Blantyre,South,,,active,,
MW_U16_LLC,Lilongwe City,Lilongwe City,Lilongwe,South,,,active,,
MW_U16_MZU,Mzuzu FC,Mzuzu FC,Mzuzu,South,,,active,,
MW_U16_ZOM,FC Zomba,FC Zomba,Zomba,South,,,active,,
MW_U16_BFC,Blantyre FC,Blantyre FC,Blantyre,South,,,active,,
MW_U16_SMU,South Malawi United,South Malawi United,Blantyre,South,,,active,,
MW_U16_ZU,Zomba United,Zomba United,Zomba,South,,,active,,
MW_U16_CWW,Chikwawa,Chikwawa,Chikwawa,South,,,active,,
MW_U16_LFC,Lunzu FC,Lunzu FC,Lunzu,South,,,active,,
MW_U16_MU,Machinga United,Machinga United,Machinga,South,,,active,,
MW_U16_MFC,Mwanza FC,Mwanza FC,Mwanza,South,,,active,,
MW_U16_LA,Liwonde Athletic,Liwonde Athletic,Liwonde,South,,,active,,
MW_BLUE,Blue Eagles,Blue Eagles,Lilongwe,,,SL_BE.png,active,,
MW_MW,Mighty Wanderers,Mighty Wanderers,Blantyre,,,SL_MW.png,active,,
MW_SS,Silver Strikers,Silver Strikers,Lilongwe,,,SL_SS.png,active,,
MW_BULL,Nyasa Big Bullets,Bullets,Blantyre,South,1967,SL_NBB.png,active,,
MW_REDL,Red Lions,Red Lions,Zomba,,,SL_RL.png,active,,
MW_MFC,Masters FC,Masters,Lilongwe,,,SL_MFC.png,active,,
MW_EFC,Ekhaya FC,Ekhaya,Blantyre,,,SL_EFC.png,active,,
MW_MB,Moyale Barracks,Moyale,Mzuzu,,,SL_MB.png,active,,
MW_MAFC,MAFCO F.C.,MAFCO,Salima,,,SL_MAF.png,active,,
MW_CS,Creck Sporting,Creck,Lilongwe,,,SL_CS.png,active,,
MW_KU,Karonga United,Karonga,Karonga,,,SL_KU.png,active,,
MW_CSU,Civil Service United,Civil Service,Lilongwe,,,SL_CSU.png,active,,
MW_LM,Luanar Mitundu,Luanar,Lilongwe,,,SL_LM.png,active,,
MW_CU,Chitipa United,Chitipa,Chitipa,,,SL_CU.png,active,,
MW_DD,Dedza Dynamos,Dedza Dynamos,Dedza,,,SL_GSD.png,active,,
MW_KB,Kamuzu Barracks,Kamuzu,Lilongwe,,,SL_KB.png,active,,
MW_SBU,Songwe Board United,Songwe,Karonga,,,NDL_SBU.png,active,,
MW_EU,Embangweni United,Embangweni,Lilongwe,,,NDL_EU.png,active,,
MW_EXFC,Extreme FC,Extreme,Lilongwe,,,NDL_EFC.png,active,,
MW_NS,Ndirande Stars,Ndirande,Blantyre,,,NDL_NS.png,active,,
MW_NU,Ntaja United,Ntaja,Machinga,,,NDL_NU.png,active,,
MW_FFC,FOMO FC,FOMO,Mulanji,,,NDL_FFC.png,active,,
MW_MCH,Mzuzu City Hammers FC,Mzuzu City,Mzuzu,,,NDL_MCH.png,active,,
MW_CBWE,Chilobwe United,Chilobwe,Blantyre,,,NDL_CU.png,active,,
MW_MT,Mighty Tigers,Tigers,Blantyre,,,NDL_MT.png,active,,
MW_NZ,Namitete Zitha,Namitete,Lilongwe,,,NDL_NZ.png,active,,
MW_BAS,Bangwe All Stars,Bangwe,Bangwe,,,NDL_BAS.png,active,,
MW_CB,Changalume Barracks,Changalume,Zomba,,,NDL_CB.png,active,,
MW_ASA,Ascent Soccer-Academy,Ascent,Blantyre,,,WP_ASA.png,active,,
MW_MDF,MDF Lioness,MDF,Lilongwe,,,WP_MDF.png,active,,
MW_KNW,Kukoma Ntopwa Women,Kukoma,Blantyre,,,WP_KNW.png,active,,
MW_TA,Topik Academy,Topik,Mzuzu,,,WP_TA.png,active,,
MW_MKA,MK Academy Women,MK Academy,Mzuzu,,,WP_MKA.png,active,,
MW_NFC,Ntopwa FC,Ntopwa,Blantyre,South,,SRFA_NFC.png,active,,
MW_MWU,Mwanza United,Mwanza,Mwanza,South,,SRFA_MU.png,active,,
MW_LBTY,Liberty FC,Liberty,Blantyre,South,,SRFA_LFC.png,active,,
MW_IFC,Immigration FC,Immigration,Blantyre,South,,SRFA_IFC.png,active,,
MW_ZU,Zingwangwa United,Zingwangwa,Blantyre,South,,SRFA_ZU.png,active,,
MW_CHIR,Chiradzulu United,Chiradzulu,Chiladzulu,South,,SRFA_CU.png,active,,
MW_TB,The Boyz SFC,Boyz,Chilomoni,South,,SRFA_TB.png,active,,
MW_NCH,Nchima United,Nchima,Thyolo,South,,SRFA_NU.png,active,,
MW_QAS,QPL All Stars,QPL,Blantyre,South,,SRFA_QAS.png,active,,
MW_MS,Mwanza Stars,Mwanza,Mwanza,South,,SRFA_MS.png,active,,
MW_CFC,Chilomoni FC,Chilomoni,Blantyre,South,,SRFA_CFC.png,active,,
MW_FCT,FC Thondwe,Thondwe,Blantyre,South,,SRFA_FCT.png,active,,
MW_NY,Nyambadwe United,Nyambadwe,Blantyre,South,,SRFA_NY.png,active,,
MW_MCHS,Mchinji Strikers,,Mchinji,Central,,CRFA_MS.png,active,,
MW_SA,Santhe Admarc FC,,,Central,,CRFA_SA.png,active,,
MW_KFC,Kalembelembe FC,,,Central,,CRFA_KFC.png,active,,
MW_MV,Mchinji Villa FC,,Mchinji,Central,,CRFA_MV.png,active,,
MW_TNS,TN Stars,,Kasungu,Central,,CRFA_TNS.png,active,,
MW_MC,Manzo Chisomo FC,,Kasungu,Central,,CRFA_MC.png,active,,
MW_AB,Armour Battalion,,,Central,,CRFA_AB.png,active,,
MW_AR,Airborne Rangers FC,,Salima,Central,,CRFA_AR.png,active,,
MW_CSFC,Chimbiya Stars FC,,Dedza,Central,,CRFA_CS.png,active,,
MW_PFC,Pyramid FC,,Lilongwe,Central,,CRFA_PFC.png,active,,
MW_MU,Mbabzi United,,Mbabzi,Central,,CRFA_MU.png,active,,
MW_NAA,Ngw'Angw'Azi Wimbe FC,,,Central,,CRFA_NAA.png,active,,
MW_LFC,Luanar FC,,,Central,,CRFA_LFC.png,active,,
MW_MPFC,Mponela FC,,Mponela,Central,,CRFA_MFC.png,active,,
MW_CRS,Chibavi Real Stars FC,,Mzuzu,North,,NRFA_CRS.png,active,,
MW_CAS,Chihame All Stars FC,,,North,,NRFA_CAS.png,active,,
MW_CHB,Chilumba Barracks FC,,,North,,NRFA_CB.png,active,,
MW_CHIP,Chipolopolo FC,,,North,,NRFA_CFC.png,active,,
MW_CHIN,Chintheche United FC,,,North,,NRFA_CU.png,active,,
MW_CZU,Chizumulu United FC,,Chizumulu Island,North,,NRFA_CZU.png,active,,
MW_EKW,Ekwendeni FC,,,North,,NRFA_EFC.png,active,,
MW_EV,Euthini Veterans FC,,Euthini,North,,NRFA_EV.png,active,,
MW_JU,Jenda United FC,,,North,,NRFA_JU.png,active,,
MW_LUMA,Lube Masters FC,,Mzuzu,North,,NRFA_LM.png,active,,
MW_LVFC,Luviri FC FC,,,North,,NRFA_LFC.png,active,,
MW_MMW,Mmbelwa Warriors FC,,Mzimba,North,,NRFA_MW.png,active,,
MW_RFC,Raiply FC,,Mzimba,North,,NRFA_RFC.png,active,,
MW_MAFU,MAFU FC,,,North,,NRFA_MFC.png,active,,
MW_VSA,Vision S Academy,,,North,,NRFA_VSA.png,active,,
MW_YY,Yizo Yizo,,,South,,,active,,
MW_MM,Manchester Motors,,,South,,,active,,
MW_CCS,CC Stars,,,South,,,active,,
MW_A,Airsport,,,South,,,active,,
MW_GS,Griffin Stars,,,South,,,active,,
MW_BIA,Brothers in Arms,,,South,,,active,,
MW_AS,Agumbala Stars,,,South,,,active,,
MW_RU,Rams United,,,South,,,active,,
MW_ND,Ndirande Dortmund,,,South,,,active,,
MW_SM,Soche Madrid,,,South,,,active,,
MW_EH,Extending Hope,,,South,,,active,,
MW_POYA,Poya FC,,Chiradzulu,South,,,active,,
MW_MAS,Mazabuka All Stars,,Luchenza,South,,,active,,
MW_LIM,Limbe Sporting,,Blantyre,South,,,active,,
MW_LUN,Lunzu Sundowns,,Lunzu,South,,,active,,
MW_GU,Gada United,,Lunzu,South,,,active,,
MW_MICH,Michigan Select,,Blantyre,South,,,active,,
MW_MYS,Mpemba Young Soccer,,Mpemba,South,,,active,,
MW_NYG,Neno Young Giants,,Neno,South,,,active,,
MW_MNTI,Mnthunzi FC,,Blantyre,South,,,active,,
MW_MUB,MUBAS,,Blantyre,South,,,active,,
MW_PSS,PS Sporting,,Blantyre,South,,,active,,
MW_H,Hardknockers,,Bangwe,South,,,active,,
MW_CUNI,Catholic University,,Nguludi,South,,,active,,